Surname,Count,Research Priority,Notes,Geographic Origin,Related Surnames
Phifer,91,Allied,Most frequent surname in tree — significant allied family,North Carolina,
Vincent,77,Primary,Primary research line — Caswell Co NC origin · post-Emancipation surname split with Vinson,"Caswell County, NC",Vinson
Graves,57,Allied,Allied family line,North Carolina,
Turner,56,Allied,Allied family line,North Carolina,
Sellars,39,Allied,Allied family line,North Carolina,
Thompson,38,Allied,Allied family line,North Carolina,
Bigelow,25,Allied,Allied family line,North Carolina,
Cunningham,24,Allied,Allied family line,North Carolina,
Hurdle,23,Allied,Allied family line,North Carolina,
Mitchell,22,Allied,Allied family line,North Carolina,
Poole,18,Background,,,
Willis,17,Background,,,
Johnson,14,Background,,,
Brown,13,Background,,,
Rone,13,Background,,,
Emerson,13,Background,,,
Warren,12,Background,,,
Simmons,12,Background,,,
Mitchel,12,Background,,,
Jones,11,Background,,,
Wright,11,Background,,,
Nicholson,10,Background,,,
Albea,10,Background,,,
Vinson,9,Primary,VINCENT variant — same ancestral line · surname changed post-Emancipation,"Caswell County, NC",Vincent
Pool,9,Background,,,
Holt,8,Background,,,
Lea,8,Background,,,
Sellers,7,Background,,,
Hooker,6,Background,,,
Wilkins,6,Background,,,
Neal,6,Background,,,
Phipis,6,Background,,,
Porle,6,Background,,,
Williams,5,Background,,,
Robinson,5,Background,,,
Biglow,5,Background,,,
Bigalow,5,Background,,,
Phiefer,5,Background,,,
Irby,5,Background,,,
Miles,5,Background,,,
Smith,5,Background,,,
Begarley,5,Background,,,
Rountree,5,Background,,,
Roundtree,4,Background,,,
Whitfield,4,Background,,,
Vincient,4,Background,,,
Lindsay,4,Background,,,
Swift,4,Background,,,
Weaver,4,Background,,,
Redd,4,Background,,,
Oliver,4,Background,,,
Sellon,4,Background,,,
Watkins,4,Background,,,
Waters,3,Background,,,
Campbell,3,Background,,,
Bell,3,Background,,,
Sharpe,3,Background,,,
Mcclelland,3,Background,,,
Emmons,3,Background,,,
Baggerly,3,Background,,,
Spencer,3,Background,,,
Hattie,3,Background,,,
Wiseman,3,Background,,,
Corbett,3,Background,,,
Crawford,3,Background,,,
Chambers,2,Background,,,
Stokes,2,Background,,,
Baggarly,2,Background,,,
Bradley,2,Background,,,
Patterson,2,Background,,,
Chandler,2,Background,,,
Enoch,2,Background,,,
Emberson,2,Background,,,
Sompson,2,Background,,,
Graham,2,Background,,,
Garner,2,Background,,,
Houpe,2,Background,,,
Randolph,2,Background,,,
Cody,2,Background,,,
Crowell,2,Background,,,
Piles,2,Background,,,
Johnston,2,Background,,,
Tursus,2,Background,,,
Phifer Graham,2,Background,,,
Williamson,2,Background,,,
Carlett,2,Background,,,
Nichelson,2,Background,,,
Nicholson Irby,1,Background,,,
Whitsett,1,Background,,,
Gardner,1,Background,,,
Summers,1,Background,,,
Walker,1,Background,,,
Towles,1,Background,,,
Morgan,1,Background,,,
Hylena,1,Background,,,
Smith Piles,1,Background,,,
Vincon,1,Background,,,
Marrow,1,Background,,,
Singletary,1,Background,,,
Degraffenreidt,1,Background,,,
De Graffenridt,1,Background,,,
Emmerson,1,Background,,,
Capchart,1,Background,,,
Harris,1,Background,,,
Yancey,1,Background,,,
Seeberger,1,Background,,,
Ford,1,Background,,,
Roberts,1,Background,,,
Summons,1,Background,,,
Keils,1,Background,,,
Richmond,1,Background,,,
Thaxton,1,Background,,,
Bradshaw,1,Background,,,
Potillo,1,Background,,,
Washington,1,Background,,,
Phipher,1,Background,,,
Cowan,1,Background,,,
Turner Campbell Ferrell (F.P.C.),1,Background,,,
Camp,1,Background,,,
Mccleland,1,Background,,,
Phipas,1,Background,,,
Murdock,1,Background,,,
Thomas,1,Background,,,
Ingram,1,Background,,,
Gill,1,Background,,,
Leath,1,Background,,,
Fennell,1,Background,,,
Hatcher,1,Background,,,
East,1,Background,,,
Melton,1,Background,,,
Briggs,1,Background,,,
Harrelson,1,Background,,,
Webster,1,Background,,,
Parker,1,Background,,,
Horton,1,Background,,,
Pinnix,1,Background,,,
Gattis,1,Background,,,
Wrieht,1,Background,,,
Scales,1,Background,,,
Penick,1,Background,,,
Carnegie,1,Background,,,
Fowler,1,Background,,,
Pulliam,1,Background,,,
Wilkerson,1,Background,,,
Vincen,1,Background,,,
Alby,1,Background,,,
Leith,1,Background,,,
Wapolo,1,Background,,,
Carr,1,Background,,,
Gearhardt Albaugh,1,Background,,,
Southern,1,Background,,,
Burton,1,Background,,,
Garrison Roundtree,1,Background,,,
Roundtree Vincent,1,Background,,,
Saunders,1,Background,,,
Whitby,1,Background,,,
Corbett Graves,1,Background,,,
Burnette,1,Background,,,
Turner Smith,1,Background,,,
Darjan,1,Background,,,
Bolden,1,Background,,,
Wiley,1,Background,,,
