Platform,Handle / Username,Full URL,Status,Role in Funnel,Followers / Subscribers,Priority,Profile Photo Status,Link in Bio Points To
Website,midnightmagnolia.com,https://midnightmagnolia.com,Live,Conversion,,Core,Set,
Instagram (brand),@noirmagnoliasc,https://instagram.com/noirmagnoliasc,Live,Discovery,163,Core,Set,https://stan.store/MidnightMagnoliaSC
Instagram (personal),@latishaimara,https://instagram.com/latishaimara,Live,Discovery,401,High,Set,
TikTok,@latishaimara6,https://tiktok.com/@latishaimara6,Live,Discovery,304,Core,Set,
Facebook (brand page),/midnightmagnoliasc,https://facebook.com/midnightmagnoliasc,Live,Conversion,,Core,Needs Update,https://stan.store/MidnightMagnoliaSC
Facebook (personal),/latisha.imara843,https://facebook.com/latisha.imara843,Live,Personal,,Medium,Set,
YouTube,@poetrygirl1013,https://youtube.com/@poetrygirl1013,Live,Depth,,Core,Needs Update,https://stan.store/MidnightMagnoliaSC
Patreon,/MidnightMagnoliaSC,https://patreon.com/MidnightMagnoliaSC,Locked,Membership,,Core,Set,
Stan Store,MidnightMagnoliaSC,https://stan.store/MidnightMagnoliaSC,Live,Sales,,Core,Needs Update,
Gumroad,midnightmagnoliasc,https://midnightmagnoliasc.gumroad.com,Live,Sales,,High,Needs Update,
Substack / Dusk Letters,midnightmagnoliasc,https://midnightmagnoliasc.substack.com,Live,Owned Audience,,High,Set,
Tumblr,midnight-magnoliasc,https://tumblr.com/blog/midnight-magnoliasc,Live,Depth,,Medium,Needs Update,
X / Twitter,@bgconscious,https://x.com/bgconscious,Live,Low Priority,83,Medium,Set,
LinkedIn,/in/latishavwaters,https://linkedin.com/in/latishavwaters,Live,Professional,,High,Needs Update,
GitHub,Rumi1013,https://github.com/Rumi1013,Live,Professional,,High,Set,
Soros Justice Fellow,N/A,https://opensocietyfoundations.org/fellows/latisha-vincent,Live,Professional,,High,Set,
BMAC,TBD,TBD,Live,Support,,High,Not Set,
Pinterest,TBD,TBD,Planned,Discovery,,Medium,Not Set,
Etsy,TBD,TBD,Planned,Sales,,Medium,Not Set,
KDP Author Page,TBD,TBD,Planned,Sales,,Medium,Not Set,
